case,label,b_over_Dinj,smoothBandwidth_m,valid_bins_30d,D32_mean_um_30d,Ux_mean_mps_30d,mean_mass_fraction_user0_30d,mean_mass_fraction_user1_30d,mean_mass_fraction_user2_30d,RMSE_D32_vs_Fluent_30d,RMSE_D32_vs_Experiment_30d,RMSE_Ux_vs_Fluent_30d,RMSE_Ux_vs_Experiment_30d,valid_bins_60d,D32_mean_um_60d,Ux_mean_mps_60d,mean_mass_fraction_user0_60d,mean_mass_fraction_user1_60d,mean_mass_fraction_user2_60d,RMSE_D32_vs_Fluent_60d,RMSE_D32_vs_Experiment_60d,RMSE_Ux_vs_Fluent_60d,RMSE_Ux_vs_Experiment_60d
b_0_PCM_cell,"PCM, b = 0",0.0,0.0,29,19.12253948105367,84.12924679624406,0.001885019072828,0.36180690356940787,0.687967495607557,6.458401130880161,6.07429230168644,6.29868011392917,13.864545567035908,29,16.25924721433421,93.45259694303388,,0.28570046969392027,0.7438547513088992,6.260531392227032,7.22068784776736,7.046180951183778,8.539966504111103
b_Dinj,"DBM, b = $D_{inj}$",1.0,0.000457,26,20.335739235063166,81.06524313071601,0.014493113113891301,0.5489322482969179,0.5338465845433128,5.078041356040151,5.17679514371842,6.27399455843426,13.779884167685138,28,18.154242357381484,91.64179635979026,,0.5138196762911861,0.5595831346075547,5.006156930596958,5.875023754657342,5.992061692886661,8.13087268830369
b_3Dinj,"DBM, b = $3D_{inj}$",3.0,0.001371,18,24.56491190997853,79.45223914329485,0.05943649809175595,0.7629364563974163,0.2238554329155269,2.8034300237785907,2.709767474778755,5.2037144952356,11.345444752297125,20,23.183591920393543,90.37957874914834,,0.7765537781564632,0.22344622184353685,1.6982925725544806,2.480530987711026,5.738122161119239,4.759242137928992
b_6Dinj,"DBM, b = $6D_{inj}$",6.0,0.002742,18,24.149806107872113,83.33719225527427,0.0637167667541957,0.770723913095832,0.2115769850280025,1.9046255302390749,2.72248413672673,9.670949568107549,14.303014184148237,22,23.07217560374008,94.25533183857382,,0.7335438607380957,0.2664561392619041,1.536499639656631,1.8364947064207329,10.167707999856452,5.86921998337858
