y_center,y_center_mm,D32_m,D32_um,Ux_mean,n_events,n_phys_sum,frac_events_d_lt_2um,frac_mass_d_lt_2um,n_events_user0,mass_fraction_user0,D32_um_user0,Ux_mean_user0,n_events_user1,mass_fraction_user1,D32_um_user1,Ux_mean_user1,n_events_user2,mass_fraction_user2,D32_um_user2,Ux_mean_user2,n_events_m10,mass_fraction_m10,n_events_m20,mass_fraction_m20,n_events_m2,mass_fraction_m2
0.00025,0.25,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.00075,0.75,1.0978064244359885e-05,10.978064244359885,99.60438560693076,731,31847.3543494396,0.006839945280437756,7.678754144514277e-05,0,,,,0,,,,731,1.0,10.978064244359885,99.60438560693076,0,,731,1.0,0,
0.00125,1.25,1.1326082191821016e-05,11.326082191821017,97.05988554784138,1671,68347.99579566732,0.010771992818671455,5.82307772658602e-05,0,,,,0,,,,1671,1.0,11.326082191821017,97.05988554784138,0,,1671,1.0,0,
0.00175,1.75,1.1292724926506049e-05,11.292724926506049,92.63697552739268,2871,105850.9034668862,0.018808777429467086,0.00010101862134474146,0,,,,0,,,,2871,1.0,11.292724926506049,92.63697552739268,0,,2871,1.0,0,
0.0022500000000000003,2.2500000000000004,1.1693157138531553e-05,11.693157138531554,85.64197412493955,3789,130671.94332892157,0.017682765901293217,0.00010989143593163119,0,,,,0,,,,3789,1.0,11.693157138531554,85.64197412493955,0,,3789,1.0,0,
0.00275,2.75,1.224256948386033e-05,12.24256948386033,81.95419213158556,4920,151084.01549474092,0.015447154471544716,8.100684640720019e-05,0,,,,6,0.008810264073261147,18.848500663088767,86.19280999445938,4914,0.9911897359267388,12.204549570653903,81.9486234928793,6,0.008810264073261147,4914,0.9911897359267388,0,
0.0032500000000000003,3.2500000000000004,1.3141706916345753e-05,13.141706916345752,78.60216210734808,6192,163669.1583493142,0.014050387596899225,4.065891958783041e-05,0,,,,51,0.04958380739960851,19.722369763601446,82.00390222225751,6141,0.9504161926003915,12.91685663859311,78.57336697467834,51,0.04958380739960851,6141,0.9504161926003915,0,
0.00375,3.75,1.4698080037248622e-05,14.698080037248623,77.24039650991094,7865,181037.74315859308,0.011697393515575335,3.0613959506751985e-05,0,,,,361,0.23011534442534726,20.748551953207468,77.87369648881236,7504,0.7698846555746527,13.5196923872877,77.20865990319092,361,0.23011534442534726,7504,0.7698846555746527,0,
0.00425,4.25,1.7076456599399837e-05,17.076456599399837,76.54700755279018,9822,203152.71502818202,0.007228670331907962,1.0310741020709684e-05,0,,,,1426,0.4956146016742601,21.65399321576771,73.95929685998904,8396,0.5043853983257398,14.139433133052844,76.98330331345502,1426,0.4956146016742601,8396,0.5043853983257398,0,
0.004750000000000001,4.750000000000001,1.9607845665677215e-05,19.607845665677214,75.72714318364069,12411,234307.7391691967,0.004028684231729917,4.1121113008534805e-06,0,,,,4159,0.7337244116801076,22.455309096429296,70.67656120203576,8252,0.26627558831989234,14.53063375619578,78.11213427115334,4159,0.7337244116801076,8252,0.26627558831989234,0,
