case,label,b_over_Dinj,smoothBandwidth_m,valid_bins_30d,D32_mean_um_30d,Ux_mean_mps_30d,mean_mass_fraction_user0_30d,mean_mass_fraction_user1_30d,mean_mass_fraction_user2_30d,RMSE_D32_vs_Fluent_30d,RMSE_D32_vs_Experiment_30d,RMSE_Ux_vs_Fluent_30d,RMSE_Ux_vs_Experiment_30d,valid_bins_60d,D32_mean_um_60d,Ux_mean_mps_60d,mean_mass_fraction_user0_60d,mean_mass_fraction_user1_60d,mean_mass_fraction_user2_60d,RMSE_D32_vs_Fluent_60d,RMSE_D32_vs_Experiment_60d,RMSE_Ux_vs_Fluent_60d,RMSE_Ux_vs_Experiment_60d
b_0_PCM_cell,"PCM, b = 0",0.0,0.0,23,20.572275312827195,83.7190863076988,0.00083138151475975,0.3328969354017216,0.7249258897538161,7.058899234864104,6.694772355606806,6.083704850972017,15.66936588589764,28,20.77190428552111,93.28966827218836,,0.2895424973907982,0.7518207165221729,7.156997516678107,6.4318903835159045,7.0457360533299145,10.952920702118925
b_Dinj,"DBM, b = $D_{inj}$",1.0,0.000457,20,21.50819317168807,80.90812038500447,0.0070064478407609,0.5544249992798096,0.5554090334000381,5.733640671011891,6.867846465304789,7.068865131546475,16.02771744440652,26,21.75658281227945,91.99926803649728,,0.4349767292112722,0.6319427675904621,6.355902614265897,6.127330630477724,6.3701934293863305,10.450398110687223
b_3Dinj,"DBM, b = $3D_{inj}$",3.0,0.001371,13,25.52287750064401,78.4536446267754,0.01604430150406973,0.7508530147244264,0.24544445415924976,2.5491760986490544,4.545497515408835,5.315672433506269,11.52588454611031,18,25.6103158965115,90.87353895351305,,0.6857313471519603,0.3142686528480396,2.7895738350723547,3.3674159319343526,5.555009452391858,6.03177138019036
b_6Dinj,"DBM, b = $6D_{inj}$",6.0,0.002742,14,25.560631976496,82.80351367051867,0.0592843068445796,0.7316182492439933,0.24720878402579974,3.115506854323016,5.00953175942676,8.91705343929545,13.744607133760015,18,24.949911730000604,94.53070855693464,,0.6757925866538131,0.3242074133461868,2.1941021918426498,2.41271229519677,10.32176146867526,5.861393736195578
