z_center_m,z_center_mm,count_parcels,count_droplets,Umean_m_s,D10_m,D10_um,D32_m,D32_um
2.500000000000000052e-03,2.500000000000000000e+00,1.000000000000000000e+00,5.363347880000000033e-03,nan,nan,nan,nan,nan
7.499999999999999722e-03,7.500000000000000000e+00,1.500000000000000000e+01,8.799796929759998165e-02,nan,nan,nan,nan,nan
1.250000000000000069e-02,1.250000000000000000e+01,3.689000000000000000e+03,1.547647629243768463e+01,1.709822213706659255e+01,1.375622720961155586e-04,1.375622720961155494e+02,2.247310545840400741e-04,2.247310545840400664e+02
1.750000000000000167e-02,1.750000000000000000e+01,6.441900000000000000e+04,1.870821278561805627e+02,1.499361497035483737e+01,1.710560017146897475e-04,1.710560017146897565e+02,2.537588261691662607e-04,2.537588261691662694e+02
2.249999999999999917e-02,2.250000000000000000e+01,1.080510000000000000e+05,3.878911943857882534e+02,1.193297449170373881e+01,1.827284338309980111e-04,1.827284338309980001e+02,2.741827028587808727e-04,2.741827028587808854e+02
2.750000000000000014e-02,2.750000000000000000e+01,1.110210000000000000e+05,5.972782195073858702e+02,9.688626890145975779e+00,2.071577057827517633e-04,2.071577057827517763e+02,2.998644545271283925e-04,2.998644545271283732e+02
3.250000000000000111e-02,3.250000000000000000e+01,6.132600000000000000e+04,4.257727738354383860e+02,8.391163739585374870e+00,2.146853288880905849e-04,2.146853288880905950e+02,3.084997756856988345e-04,3.084997756856988076e+02
3.750000000000000555e-02,3.750000000000000711e+01,3.561700000000000000e+04,3.242044070190792127e+02,7.788957734244326581e+00,2.197452426239412601e-04,2.197452426239412659e+02,3.101186204043202173e-04,3.101186204043202110e+02
4.249999999999999611e-02,4.249999999999999289e+01,2.599600000000000000e+04,3.020737714115820722e+02,7.582532108353915667e+00,2.241895833426406760e-04,2.241895833426406739e+02,3.121100556402379056e-04,3.121100556402379311e+02
4.750000000000000056e-02,4.750000000000000000e+01,2.262100000000000000e+04,3.224122486864637835e+02,7.359516357534457320e+00,2.239770778826316729e-04,2.239770778826316757e+02,3.147287686433827879e-04,3.147287686433828071e+02
5.250000000000000500e-02,5.250000000000000711e+01,1.546900000000000000e+04,2.397682952534767935e+02,7.095845067397218209e+00,2.302599951816049488e-04,2.302599951816049497e+02,3.183901602117941818e-04,3.183901602117941820e+02
5.749999999999999556e-02,5.749999999999999289e+01,6.323000000000000000e+03,8.995603563344991471e+01,6.741059876246557891e+00,2.367942746377271887e-04,2.367942746377271988e+02,3.182141521971741205e-04,3.182141521971741440e+02
6.250000000000000000e-02,6.250000000000000000e+01,2.429000000000000000e+03,2.753714558083314756e+01,6.361640619499620897e+00,2.409968832504314200e-04,2.409968832504314094e+02,3.200424236821900630e-04,3.200424236821900763e+02
