y_center,y_center_mm,D32_m,D32_um,Ux_mean,n_events,n_phys_sum,frac_events_d_lt_2um,frac_mass_d_lt_2um,n_events_user0,mass_fraction_user0,D32_um_user0,Ux_mean_user0,n_events_user1,mass_fraction_user1,D32_um_user1,Ux_mean_user1,n_events_user2,mass_fraction_user2,D32_um_user2,Ux_mean_user2,n_events_m10,mass_fraction_m10,n_events_m20,mass_fraction_m20,n_events_m2,mass_fraction_m2
0.00025,0.25,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.00075,0.75,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.00125,1.25,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.00175,1.75,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.0022500000000000003,2.2500000000000004,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.00275,2.75,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.0032500000000000003,3.2500000000000004,1.9331594102033294e-05,19.331594102033293,80.61320189090375,779,22591.951382786323,0.0,0.0,0,,,,702,0.9813119209532167,19.626313398968865,79.21766467519481,77,0.018688079046783386,10.808715077298608,88.89360463777255,702,0.9813119209532167,77,0.018688079046783386,0,
0.00375,3.75,2.0730838360441358e-05,20.730838360441357,76.54575650016751,8737,201139.94046707673,0.0,0.0,0,,,,8655,0.9983375399232258,20.7606286486337,76.3494435762332,82,0.00166246007677406,11.135383576265365,89.07851524930564,8655,0.9983375399232258,82,0.00166246007677406,0,
0.00425,4.25,2.1849250250780012e-05,21.849250250780013,74.32726593887563,34665,677580.7941029748,2.8847540747151304e-05,7.690503309608255e-09,0,,,,34594,0.9995388070096013,21.856413979092885,74.26806414692184,71,0.0004611929903986629,12.774666268036281,90.90179255489028,34594,0.9995388070096013,71,0.0004611929903986629,0,
0.004750000000000001,4.750000000000001,2.346255660212282e-05,23.46255660212282,73.79065049631181,57524,931097.783764643,0.0,0.0,0,,,,57429,0.999681568111881,23.468218349141146,73.72997289391682,95,0.00031843188811904444,13.3508509361546,94.45442747737872,57429,0.999681568111881,95,0.00031843188811904444,0,
0.0052499999999999995,5.249999999999999,2.5074674024679936e-05,25.074674024679936,74.09464458827108,59950,806388.4611092198,0.0,0.0,0,,,,59876,0.9997085976880683,25.081415021186622,74.03458832778485,74,0.00029140231193168714,13.045825344224015,95.24593147845536,59876,0.9997085976880683,74,0.00029140231193168714,0,
0.00575,5.75,2.6656422588626175e-05,26.656422588626175,74.68532419165608,57505,651710.9466602321,0.0,0.0,0,,,,57419,0.9996960609416022,26.66300446548393,74.63398836282252,86,0.00030393905839765057,14.711564496974427,95.46077695544496,57419,0.9996960609416022,86,0.00030393905839765057,0,
0.00625,6.25,2.847532206704133e-05,28.475322067041333,74.57042028675974,56979,541684.9484930611,1.755032555853911e-05,3.771643143677662e-09,0,,,,56916,0.9995431273198613,28.482309211683717,74.53379107532983,63,0.0004568726801387755,18.53018697844763,89.68722931982683,56916,0.9995431273198613,63,0.0004568726801387755,0,
