y_center,y_center_mm,D32_m,D32_um,Ux_mean,n_events,n_phys_sum,frac_events_d_lt_2um,frac_mass_d_lt_2um,n_events_user0,mass_fraction_user0,D32_um_user0,Ux_mean_user0,n_events_user1,mass_fraction_user1,D32_um_user1,Ux_mean_user1,n_events_user2,mass_fraction_user2,D32_um_user2,Ux_mean_user2,n_events_m10,mass_fraction_m10,n_events_m20,mass_fraction_m20,n_events_m2,mass_fraction_m2
0.00025,0.25,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,
0.00075,0.75,8.657622669359967e-06,8.657622669359966,107.07559292142011,407,51164.857428908,0.014742014742014743,8.385710537186491e-05,0,,,,0,,,,407,1.0,8.657622669359966,107.07559292142011,0,,407,1.0,0,
0.00125,1.25,8.581859103772725e-06,8.581859103772725,106.83624996022023,1665,183998.938919478,0.008408408408408409,0.00011258922427390959,0,,,,0,,,,1665,1.0,8.581859103772725,106.83624996022023,0,,1665,1.0,0,
0.00175,1.75,8.799852597529923e-06,8.799852597529924,104.5976720188058,3693,353849.7108410923,0.010560519902518278,0.00017525477025930164,0,,,,0,,,,3693,1.0,8.799852597529924,104.5976720188058,0,,3693,1.0,0,
0.0022500000000000003,2.2500000000000004,9.20629180567895e-06,9.20629180567895,99.71136535026422,5239,429425.361903002,0.016987974804351977,0.00022374648060699326,0,,,,0,,,,5239,1.0,9.20629180567895,99.71136535026422,0,,5239,1.0,0,
0.00275,2.75,9.612080435213595e-06,9.612080435213596,95.32668379050118,6886,507963.0916714107,0.022654661632297415,0.0002321700598368816,0,,,,9,0.011389946713505236,14.56888868317049,95.4396830693116,6877,0.9886100532864946,9.574549385877045,95.3264704701129,9,0.011389946713505236,6877,0.9886100532864946,0,
0.0032500000000000003,3.2500000000000004,1.009573412080487e-05,10.095734120804869,88.61699951022466,8265,553064.2152497969,0.025166364186327887,0.00021996616450585237,0,,,,45,0.048913616068996066,15.469955875134918,91.20752368665777,8220,0.9510863839310038,9.918526068252547,88.59725271980916,45,0.048913616068996066,8220,0.9510863839310038,0,
0.00375,3.75,1.0588125558314779e-05,10.588125558314779,82.81128469234622,10211,647407.0581133411,0.031142885123886004,0.0002289318643745343,0,,,,64,0.05189630245146373,15.686337077358758,87.04750677123458,10147,0.9481036975485362,10.403054814990684,82.77380383429453,64,0.05189630245146373,10147,0.9481036975485362,0,
0.00425,4.25,1.1031116911974193e-05,11.031116911974193,78.65317103320103,13551,788110.6943512149,0.0274518485720611,0.00017732592785432594,0,,,,123,0.07450567233424511,15.977019743618172,82.17632587950058,13428,0.9254943276657549,10.762894858853432,78.60543089233929,123,0.07450567233424511,13428,0.9254943276657549,0,
0.004750000000000001,4.750000000000001,1.1446084975241934e-05,11.446084975241934,75.3205282948646,17993,921316.5789629852,0.023675873950980936,0.00012835017104229678,0,,,,146,0.06295433226726155,16.249560241360694,78.03212718390961,17847,0.9370456677327387,11.223192592503093,75.2865076471804,146,0.06295433226726155,17847,0.9370456677327387,0,
0.0052499999999999995,5.249999999999999,1.2192101775561152e-05,12.192101775561152,74.06278141048752,23404,994954.7508915907,0.01568108015723808,6.640389223805741e-05,0,,,,210,0.06708737067073957,16.525602166931954,75.38535130474813,23194,0.9329126293292603,11.96644596066832,74.04157121596197,210,0.06708737067073957,23194,0.9329126293292603,0,
0.00575,5.75,1.3184892395927007e-05,13.184892395927008,73.51002964889426,29128,1046703.6841821052,0.010677011809942323,3.745569274463439e-05,0,,,,346,0.07974947712018329,16.905453976180528,73.0599489979003,28782,0.9202505228798167,12.938132250885026,73.52065244534256,346,0.07974947712018329,28782,0.9202505228798167,0,
